Time,DWATT,CSGV,CTIM,TTXD1_1,TTXD1_2,TTXD1_3,TTXD1_4,TTXD1_5,TTXD1_6,TTXD1_7,TTXD1_8,TTXD1_9,TTXD1_10,TTXD1_11,TTXD1_12,TTXD1_13,TTXD1_14,TTXD1_15,TTXD1_16,TTXD1_17,TTXD1_18,TTXD1_19,TTXD1_20,TTXD1_21,TTXD1_22,TTXD1_23,TTXD1_24,TTXM,TTXSP1,TTXSP3,TTXSP2
#!Units,MW,na,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,naF,naF,naF,deg F,deg F,deg F,deg F
#!Description,Generator Watts Max Selected,IGV angle in deg,Compressor Inlet Temperature,Exhaust Thermocouple 1- Compensated,Exhaust Thermocouple 2- Compensated,Exhaust Thermocouple 3- Compensated,Exhaust Thermocouple 4- Compensated,Exhaust Thermocouple 5- Compensated,Exhaust Thermocouple 6 - Compensated,Exhaust Thermocouple 7 - Compensated,Exhaust Thermocouple 9 - Compensated,Exhaust Thermocouple 9 - Compensated,Exhaust Thermocouple 10  - Compensated,Exhaust Thermocouple 11 - Compensated,Exhaust Thermocouple 12 - Compensated,Exhaust Thermocouple 13 - Compensated,Exhaust Thermocouple 14 - Compensated,Exhaust Thermocouple 15 - Compensated,Exhaust Thermocouple 16 - Compensated,Exhaust Thermocouple 17 - Compensated,Exhaust Thermocouple 18 - Compensated,Exhaust Thermocouple 19 - Compensated,Exhaust Thermocouple 20 - Compensated,Exhaust Thermocouple 21 - Compensated,Exhaust Thermocouple 22 - Compensated,Exhaust Thermocouple 23 - Compensated,Exhaust Thermocouple 24 - Compensated,Exhaust Temp Median Corrected By Average,Combustion Monitor Actual Spread 1,Combustion Monitor Actual Spread 3,Combustion Monitor Actual Spread 2
2015/8/1 0:00,103.0826721,84.05797577,91.35520935,1056.271606,1056.249512,1056.90564,1039.57605,1051.324463,1071.620239,1051.213257,1055.065552,1064.045776,1062.151123,1049.986206,1051.356934,1048.247192,1043.951538,1061.442871,1064.633301,1062.626587,1042.492554,1040.360107,1044.769287,1061.994507,1052.054688,1055.862671,1061.955322,1055.949707,25.66916656,23.58292007,24.93045998
2015/8/1 1:00,103.3062134,84.06842041,89.63658905,1057.366943,1055.130981,1057.074707,1037.682373,1049.881348,1070.99231,1050.53772,1053.835083,1061.643188,1061.310913,1050.171021,1049.965088,1046.13855,1041.01123,1061.208862,1062.317383,1060.7677,1040.384399,1040.169312,1042.369751,1060.376343,1050.632324,1053.875122,1060.029053,1052.199707,25.02660942,22.51792336,23.52773857
2015/8/1 2:00,103.5618591,84.05568695,89.13874054,1055.688599,1053.412842,1056.954224,1039.199585,1050.531128,1071.470703,1051.274048,1055.597046,1064.537231,1060.905518,1051.084106,1053.052368,1047.559814,1043.053833,1060.550903,1062.386719,1059.970703,1041.285522,1040.676514,1041.763428,1062.228394,1050.305054,1056.360107,1059.859985,1054.869141,26.2706337,22.97101974,22.13184357
2015/8/1 3:00,103.5441971,84.0637207,88.77116394,1056.649536,1054.690308,1058.509521,1037.749512,1047.575073,1069.485229,1049.310425,1054.250366,1062.025757,1062.128906,1047.870483,1050.330078,1047.552734,1041.790039,1061.594482,1061.341553,1059.89917,1040.759644,1039.704102,1042.206299,1060.811523,1051.064087,1054.896729,1059.316284,1053.093628,25.26716232,22.15986633,22.32428169
2015/8/1 4:00,77.35246277,61.77230453,97.53249359,1093.326172,1090.55542,1087.083008,1088.796143,1083.110962,1088.895142,1079.944946,1098.591064,1095.516479,1092.768677,1096.011108,1088.755859,1084.335693,1088.131592,1076.7677,1087.193115,1090.641968,1088.12854,1085.520508,1087.992065,1087.710327,1075.902954,1095.7323,1092.937622,1088.570313,22.87000656,17.25897789,20.66464233
2015/8/1 5:00,99.55996704,76.90935516,89.04841614,1062.718506,1064.148193,1063.577393,1048.179443,1061.395508,1071.485962,1057.560913,1067.901367,1075.404907,1070.370728,1059.484131,1062.705078,1057.109497,1051.845337,1064.881104,1074.899414,1065.170044,1051.699219,1043.226318,1055.401611,1074.675171,1063.646606,1065.093872,1071.851807,1063.424683,31.84046364,23.65743446,24.02619743
2015/8/1 6:00,97.68922424,70.59851837,88.01203918,1074.510986,1075.490723,1074.996948,1060.171753,1073.660034,1082.450317,1067.11377,1080.100708,1084.793823,1078.767822,1067.577515,1072.877563,1067.697144,1059.853638,1075.344116,1087.257813,1076.148804,1064.356567,1053.265015,1069.015381,1087.710449,1075.852661,1074.234375,1083.049194,1073.468506,32.25344467,26.38257217,25.97006798
2015/8/1 7:00,96.79737854,69.42015839,88.10221863,1076.403687,1077.287842,1076.689575,1061.080811,1075.489746,1084.945068,1069.192261,1083.048706,1086.73291,1079.815308,1069.503052,1075.247192,1069.454956,1059.979492,1075.793579,1088.822754,1078.66394,1066.004517,1055.456055,1069.943115,1087.344727,1076.34314,1077.671753,1083.229858,1073.942261,30.49998474,24.03955078,24.91410828
