,time,实际值,预测值
0,2012/1/1 0:00,2698,2698
1,2012/1/1 1:00,2558,2558
2,2012/1/1 2:00,2444,2444
3,2012/1/1 3:00,2402,2402
4,2012/1/1 4:00,2403,2403
5,2012/1/1 5:00,2453,2453
6,2012/1/1 6:00,2560,2560
7,2012/1/1 7:00,2719,2719
8,2012/1/1 8:00,2916,2916
9,2012/1/1 9:00,3105,3105
10,2012/1/1 10:00,3174,3174
11,2012/1/1 11:00,3180,3180
12,2012/1/1 12:00,3184,3684
13,2012/1/1 13:00,3147,3147
14,2012/1/1 14:00,3122,3122
15,2012/1/1 15:00,3137,3137
16,2012/1/1 16:00,3486,3486
17,2012/1/1 17:00,3717,3717
18,2012/1/1 18:00,3659,3659
19,2012/1/1 19:00,3513,3513
20,2012/1/1 20:00,3344,3344
21,2012/1/1 21:00,3129,3129
22,2012/1/1 22:00,2873,2873
23,2012/1/1 23:00,2639,2639
24,2012/1/2 0:00,2458,2458
25,2012/1/2 1:00,2354,2354
26,2012/1/2 2:00,2294,2294
27,2012/1/2 3:00,2288,2288
28,2012/1/2 4:00,2353,2353
29,2012/1/2 5:00,2503,2503
30,2012/1/2 6:00,2737,2737
31,2012/1/2 7:00,2960,2960
32,2012/1/2 8:00,3185,3185
33,2012/1/2 9:00,3390,3390
34,2012/1/2 10:00,3510,3510
35,2012/1/2 11:00,3549,3549
36,2012/1/2 12:00,3517,3517
37,2012/1/2 13:00,3469,3469
38,2012/1/2 14:00,3449,3449
39,2012/1/2 15:00,3504,3504
40,2012/1/2 16:00,3843,3843
41,2012/1/2 17:00,4125,4125
42,2012/1/2 18:00,4064,4664
43,2012/1/2 19:00,3919,3919
44,2012/1/2 20:00,3747,3747
45,2012/1/2 21:00,3484,3484
46,2012/1/2 22:00,3190,3190
47,2012/1/2 23:00,2949,2949
48,2012/1/3 0:00,2780,2780
49,2012/1/3 1:00,2699,2699
50,2012/1/3 2:00,2663,2663
51,2012/1/3 3:00,2683,2683
52,2012/1/3 4:00,2799,2799
53,2012/1/3 5:00,3083,3083
54,2012/1/3 6:00,3593,3593
55,2012/1/3 7:00,3845,3845
56,2012/1/3 8:00,3865,3865
57,2012/1/3 9:00,3906,3906
58,2012/1/3 10:00,3935,3935
59,2012/1/3 11:00,3924,3924
60,2012/1/3 12:00,3897,3897
61,2012/1/3 13:00,3877,3877
62,2012/1/3 14:00,3854,3854
63,2012/1/3 15:00,3904,3904
64,2012/1/3 16:00,4200,4200
65,2012/1/3 17:00,4482,4482
66,2012/1/3 18:00,4460,4460
67,2012/1/3 19:00,4353,4353
68,2012/1/3 20:00,4198,4198
69,2012/1/3 21:00,3935,3935
70,2012/1/3 22:00,3605,3605
71,2012/1/3 23:00,3347,3347
72,2012/1/4 0:00,3184,3184
73,2012/1/4 1:00,3104,3104
74,2012/1/4 2:00,3065,3065
75,2012/1/4 3:00,3077,3077
76,2012/1/4 4:00,3162,3162
77,2012/1/4 5:00,3444,3444
78,2012/1/4 6:00,3943,3943
79,2012/1/4 7:00,4152,4152
80,2012/1/4 8:00,4134,4134
81,2012/1/4 9:00,4124,4124
82,2012/1/4 10:00,4123,4123
83,2012/1/4 11:00,4113,4113
84,2012/1/4 12:00,4071,4071
85,2012/1/4 13:00,4050,4050
86,2012/1/4 14:00,4032,4032
87,2012/1/4 15:00,4048,4048
88,2012/1/4 16:00,4312,4312
89,2012/1/4 17:00,4507,4507
90,2012/1/4 18:00,4460,4460
91,2012/1/4 19:00,4331,4331
92,2012/1/4 20:00,4147,4147
93,2012/1/4 21:00,3860,3860
94,2012/1/4 22:00,3515,3515
95,2012/1/4 23:00,3210,3210
96,2012/1/5 0:00,3014,3014
97,2012/1/5 1:00,2921,2921
98,2012/1/5 2:00,2874,2874
99,2012/1/5 3:00,2876,2876
100,2012/1/5 4:00,2962,2962
101,2012/1/5 5:00,3239,3239
102,2012/1/5 6:00,3719,3719
103,2012/1/5 7:00,3940,3940
104,2012/1/5 8:00,3933,3933
105,2012/1/5 9:00,3948,3948
106,2012/1/5 10:00,3945,3945
107,2012/1/5 11:00,3933,3933
108,2012/1/5 12:00,3894,3894
109,2012/1/5 13:00,3873,3873
110,2012/1/5 14:00,3838,3838
111,2012/1/5 15:00,3855,3855
112,2012/1/5 16:00,4112,4112
113,2012/1/5 17:00,4326,4326
114,2012/1/5 18:00,4317,4317
115,2012/1/5 19:00,4213,4213
116,2012/1/5 20:00,4031,4031
117,2012/1/5 21:00,3749,3749
118,2012/1/5 22:00,3417,3417
119,2012/1/5 23:00,3167,3167
120,2012/1/6 0:00,2992,2992
121,2012/1/6 1:00,2916,2916
122,2012/1/6 2:00,2873,2873
123,2012/1/6 3:00,2861,2861
124,2012/1/6 4:00,2935,2935
