Date,Hour,load,T
2012/1/1,1,2698,32.00
2012/1/1,2,2558,32.67
2012/1/1,3,2444,30.00
2012/1/1,4,2402,31.00
2012/1/1,5,2403,32.00
2012/1/1,6,2453,31.33
2012/1/1,7,2560,30.00
2012/1/1,8,2719,29.00
2012/1/1,9,2916,29.00
2012/1/1,10,3105,33.33
2012/1/1,11,3174,36.67
2012/1/1,12,3180,40.33
2012/1/1,13,3184,43.67
2012/1/1,14,3147,43.33
2012/1/1,15,3122,45.00
2012/1/1,16,3137,44.67
2012/1/1,17,3486,43.33
2012/1/1,18,3717,41.67
2012/1/1,19,3659,41.33
2012/1/1,20,3513,41.67
2012/1/1,21,3344,42.67
2012/1/1,22,3129,43.33
2012/1/1,23,2873,44.33
2012/1/1,24,2639,44.00
2012/1/2,1,2458,43.67
2012/1/2,2,2354,43.00
2012/1/2,3,2294,42.67
2012/1/2,4,2288,43.67
2012/1/2,5,2353,43.00
2012/1/2,6,2503,41.00
2012/1/2,7,2737,40.00
2012/1/2,8,2960,37.33
2012/1/2,9,3185,37.00
2012/1/2,10,3390,37.33
2012/1/2,11,3510,38.67
2012/1/2,12,3549,40.00
2012/1/2,13,3517,38.00
2012/1/2,14,3469,39.33
2012/1/2,15,3449,38.33
2012/1/2,16,3504,38.00
2012/1/2,17,3843,37.33
2012/1/2,18,4125,36.00
2012/1/2,19,4064,34.33
2012/1/2,20,3919,31.33
2012/1/2,21,3747,31.00
2012/1/2,22,3484,30.33
2012/1/2,23,3190,28.67
2012/1/2,24,2949,27.67
2012/1/3,1,2780,26.33
2012/1/3,2,2699,26.00
2012/1/3,3,2663,25.67
2012/1/3,4,2683,24.67
2012/1/3,5,2799,22.67
2012/1/3,6,3083,21.67
2012/1/3,7,3593,20.33
2012/1/3,8,3845,19.00
2012/1/3,9,3865,18.33
2012/1/3,10,3906,18.67
2012/1/3,11,3935,18.33
2012/1/3,12,3924,18.67
2012/1/3,13,3897,18.67
2012/1/3,14,3877,18.67
2012/1/3,15,3854,18.67
2012/1/3,16,3904,17.67
2012/1/3,17,4200,15.67
2012/1/3,18,4482,13.33
2012/1/3,19,4460,11.67
2012/1/3,20,4353,10.67
2012/1/3,21,4198,9.67
2012/1/3,22,3935,8.67
2012/1/3,23,3605,7.67
2012/1/3,24,3347,7.00
2012/1/4,1,3184,6.00
2012/1/4,2,3104,5.67
2012/1/4,3,3065,5.33
2012/1/4,4,3077,5.00
2012/1/4,5,3162,4.67
2012/1/4,6,3444,4.00
2012/1/4,7,3943,4.67
2012/1/4,8,4152,4.67
2012/1/4,9,4134,5.00
2012/1/4,10,4124,8.00
2012/1/4,11,4123,10.67
2012/1/4,12,4113,13.67
2012/1/4,13,4071,15.67
2012/1/4,14,4050,17.67
2012/1/4,15,4032,19.33
2012/1/4,16,4048,20.00
2012/1/4,17,4312,20.00
2012/1/4,18,4507,20.00
2012/1/4,19,4460,20.00
2012/1/4,20,4331,20.33
2012/1/4,21,4147,20.33
2012/1/4,22,3860,20.67
