iter	MultiClass
0	1.068118123
1	1.042733912
2	1.015991467
3	0.9941905601
4	0.9702731088
5	0.9491753569
6	0.9263732693
7	0.9052416263
8	0.885810227
9	0.8664799448
10	0.8472814066
11	0.8293568429
12	0.8122125943
13	0.7985139784
14	0.7824714497
15	0.774785754
16	0.7571364287
17	0.7444073524
18	0.7290094492
19	0.7141945608
20	0.6996452789
21	0.6865532421
22	0.6739767328
23	0.6637206351
24	0.6517205214
25	0.640396718
26	0.6280154628
27	0.6171990572
28	0.605616938
29	0.594357497
30	0.5841806578
31	0.5739355282
32	0.5641711359
33	0.5543916824
34	0.5448910646
35	0.5360048305
36	0.5271597555
37	0.5192927915
38	0.5122866212
39	0.5038748182
40	0.4955847801
41	0.4885597195
42	0.4812830202
43	0.4752203273
44	0.4684473584
45	0.4613550613
46	0.4565855219
47	0.4497049057
48	0.442622051
49	0.4351955721
50	0.4289809292
51	0.4228476478
52	0.4166795573
53	0.4105951853
54	0.4046687191
55	0.3984582922
56	0.392885824
57	0.3873861396
58	0.3829282631
59	0.3770582712
60	0.3711563116
61	0.3675121798
62	0.3638524003
63	0.3593464471
64	0.3539173244
65	0.3490653246
66	0.3450548243
67	0.341205851
68	0.3376861301
69	0.335130359
70	0.3307658385
71	0.3265107909
72	0.3222820726
73	0.3181906443
74	0.313989707
75	0.3099409294
76	0.3071374758
77	0.3044297105
78	0.3008117418
79	0.2979028259
80	0.2941258814
81	0.2911145462
82	0.2881455101
83	0.2851401496
84	0.2816676005
85	0.2784898164
86	0.2752563592
87	0.2719475192
88	0.2687357624
89	0.2658627032
90	0.2629314971
91	0.2598160153
92	0.2575445728
93	0.2550387155
94	0.2524578948
95	0.2496872648
96	0.247936792
97	0.2451506603
98	0.2427179795
99	0.2401593571
100	0.2376793806
101	0.2357783542
102	0.2336709394
103	0.230917391
104	0.2287768125
105	0.2262497403
106	0.2240182433
107	0.2217379728
108	0.2195294234
109	0.2182349038
110	0.2166137363
111	0.2147627807
112	0.2129977953
113	0.2110001766
114	0.2096957906
115	0.2083809926
116	0.2062766461
117	0.2046948998
118	0.2030387079
119	0.2017646102
120	0.1998914637
