load,temp
2698.0,32.0
2558.0,32.67
2444.0,30.0
2402.0,31.0
2403.0,32.0
2453.0,31.33
2560.0,30.0
2719.0,29.0
2916.0,29.0
3105.0,33.33
3174.0,36.67
3180.0,40.33
3184.0,43.67
3147.0,43.33
3122.0,45.0
3137.0,44.67
3486.0,43.33
3717.0,41.67
3659.0,41.33
3513.0,41.67
3344.0,42.67
3129.0,43.33
2873.0,44.33
2639.0,44.0
2458.0,43.67
2354.0,43.0
2294.0,42.67
2288.0,43.67
2353.0,43.0
2503.0,41.0
2737.0,40.0
2960.0,37.33
3185.0,37.0
3390.0,37.33
3510.0,38.67
3549.0,40.0
3517.0,38.0
3469.0,39.33
3449.0,38.33
3504.0,38.0
3843.0,37.33
4125.0,36.0
4064.0,34.33
3919.0,31.33
3747.0,31.0
3484.0,30.33
3190.0,28.67
2949.0,27.67
2780.0,26.33
2699.0,26.0
2663.0,25.67
2683.0,24.67
2799.0,22.67
3083.0,21.67
3593.0,20.33
3845.0,19.0
3865.0,18.33
3906.0,18.67
3935.0,18.33
3924.0,18.67
3897.0,18.67
3877.0,18.67
3854.0,18.67
3904.0,17.67
4200.0,15.67
4482.0,13.33
4460.0,11.67
4353.0,10.67
4198.0,9.67
3935.0,8.67
3605.0,7.67
3347.0,7.0
3184.0,6.0
3104.0,5.67
3065.0,5.33
3077.0,5.0
3162.0,4.67
3444.0,4.0
3943.0,4.67
4152.0,4.67
4134.0,5.0
4124.0,8.0
4123.0,10.67
4113.0,13.67
4071.0,15.67
4050.0,17.67
4032.0,19.33
4048.0,20.0
4312.0,20.0
4507.0,20.0
4460.0,20.0
4331.0,20.33
4147.0,20.33
3860.0,20.67
3515.0,21.33
3210.0,22.0
3014.0,22.33
2921.0,22.33
2874.0,22.0
2876.0,21.67
2962.0,21.33
3239.0,21.33
3719.0,21.67
3940.0,22.67
3933.0,23.0
3948.0,24.0
3945.0,25.67
3933.0,28.0
3894.0,29.33
3873.0,30.67
3838.0,32.0
3855.0,32.0
4112.0,30.67
4326.0,29.0
4317.0,27.0
4213.0,25.0
4031.0,24.0
3749.0,22.33
3417.0,20.0
3167.0,19.0
2992.0,17.0
2916.0,17.0
2873.0,17.67
2861.0,20.0
2935.0,20.0
