time,load,temp,label
2012/1/1 0:00,2698,32,0
2012/1/1 1:00,2558,32.67,0
2012/1/1 2:00,2444,30,0
2012/1/1 3:00,2402,31,0
2012/1/1 4:00,2403,32,0
2012/1/1 5:00,2453,31.33,0
2012/1/1 6:00,2560,30,0
2012/1/1 7:00,2719,29,0
2012/1/1 8:00,2916,29,0
2012/1/1 9:00,3105,33.33,0
2012/1/1 10:00,3174,36.67,0
2012/1/1 11:00,3180,40.33,0
2012/1/1 12:00,3184,43.67,0
2012/1/1 13:00,3147,43.33,0
2012/1/1 14:00,3122,45,0
2012/1/1 15:00,3137,44.67,0
2012/1/1 16:00,3486,43.33,0
2012/1/1 17:00,3717,41.67,0
2012/1/1 18:00,3659,41.33,0
2012/1/1 19:00,3513,41.67,0
2012/1/1 20:00,3344,42.67,0
2012/1/1 21:00,3129,43.33,0
2012/1/1 22:00,2873,44.33,0
2012/1/1 23:00,2639,44,0
2012/1/2 0:00,2458,43.67,0
2012/1/2 1:00,2354,43,0
2012/1/2 2:00,2294,42.67,0
2012/1/2 3:00,2288,43.67,0
2012/1/2 4:00,2353,43,0
2012/1/2 5:00,2503,41,0
2012/1/2 6:00,2737,40,0
2012/1/2 7:00,2960,37.33,0
2012/1/2 8:00,3185,37,0
2012/1/2 9:00,3390,37.33,0
2012/1/2 10:00,3510,38.67,0
2012/1/2 11:00,3549,40,0
2012/1/2 12:00,3517,38,0
2012/1/2 13:00,3469,39.33,0
2012/1/2 14:00,3449,38.33,0
2012/1/2 15:00,3504,38,0
2012/1/2 16:00,3843,37.33,0
2012/1/2 17:00,4125,36,0
2012/1/2 18:00,4064,34.33,0
2012/1/2 19:00,3919,31.33,0
2012/1/2 20:00,3747,31,0
2012/1/2 21:00,3484,30.33,0
2012/1/2 22:00,3190,28.67,0
2012/1/2 23:00,2949,27.67,0
2012/1/3 0:00,2780,26.33,0
2012/1/3 1:00,2699,26,0
2012/1/3 2:00,2663,25.67,0
2012/1/3 3:00,2683,24.67,0
2012/1/3 4:00,2799,22.67,0
2012/1/3 5:00,3083,21.67,0
2012/1/3 6:00,3593,20.33,0
2012/1/3 7:00,3845,19,0
2012/1/3 8:00,3865,18.33,0
2012/1/3 9:00,3906,18.67,0
2012/1/3 10:00,3935,18.33,0
2012/1/3 11:00,3924,18.67,0
2012/1/3 12:00,3897,18.67,0
2012/1/3 13:00,3877,18.67,0
2012/1/3 14:00,3854,18.67,0
2012/1/3 15:00,3904,17.67,0
2012/1/3 16:00,4200,15.67,0
2012/1/3 17:00,4482,13.33,0
2012/1/3 18:00,4460,11.67,0
2012/1/3 19:00,4353,10.67,0
2012/1/3 20:00,4198,9.67,0
2012/1/3 21:00,3935,8.67,0
2012/1/3 22:00,3605,7.67,0
2012/1/3 23:00,3347,7,0
2012/1/4 0:00,3184,6,0
2012/1/4 1:00,3104,5.67,0
2012/1/4 2:00,3065,5.33,0
2012/1/4 3:00,3077,5,0
2012/1/4 4:00,3162,4.67,0
2012/1/4 5:00,3444,4,0
2012/1/4 6:00,3943,4.67,0
2012/1/4 7:00,4152,4.67,0
2012/1/4 8:00,4134,5,0
2012/1/4 9:00,4124,8,0
2012/1/4 10:00,4123,10.67,0
2012/1/4 11:00,4113,13.67,0
2012/1/4 12:00,4071,15.67,0
2012/1/4 13:00,4050,17.67,0
2012/1/4 14:00,4032,19.33,0
2012/1/4 15:00,4048,20,0
2012/1/4 16:00,4312,20,0
2012/1/4 17:00,4507,20,0
2012/1/4 18:00,4460,20,0
2012/1/4 19:00,4331,20.33,0
2012/1/4 20:00,4147,20.33,0
2012/1/4 21:00,3860,20.67,0
2012/1/4 22:00,3515,21.33,0
2012/1/4 23:00,3210,22,0
2012/1/5 0:00,3014,22.33,0
2012/1/5 1:00,2921,22.33,0
2012/1/5 2:00,2874,22,0
2012/1/5 3:00,2876,21.67,0
2012/1/5 4:00,2962,21.33,0
