Mon Day Year Open High Low Close Volume Adjclose
1 3 1980 105.76 106.08 103.26 105.22 50480000 105.22
1 4 1980 105.22 107.08 105.09 106.52 39130000 106.52
1 7 1980 106.52 107.8 105.8 106.81 44500000 106.81
1 8 1980 106.81 109.29 106.29 108.95 53390000 108.95
1 9 1980 108.95 111.09 108.41 109.05 65260000 109.05
1 10 1980 109.05 110.86 108.47 109.89 55980000 109.89
1 11 1980 109.89 111.16 108.89 109.92 52890000 109.92
1 14 1980 109.92 111.44 109.34 110.38 52930000 110.38
1 15 1980 110.38 111.93 109.45 111.14 52320000 111.14
1 16 1980 111.14 112.9 110.38 111.05 67700000 111.05
1 17 1980 111.05 112.01 109.81 110.7 54170000 110.7
1 18 1980 110.7 111.74 109.88 111.07 47150000 111.07
1 21 1980 111.07 112.9 110.66 112.1 48040000 112.1
1 22 1980 112.1 113.1 110.92 111.51 50620000 111.51
1 23 1980 111.51 113.93 110.93 113.44 50730000 113.44
1 24 1980 113.44 115.27 112.95 113.7 59070000 113.7
1 25 1980 113.7 114.45 112.36 113.61 47100000 113.61
1 28 1980 113.61 115.65 112.93 114.85 53620000 114.85
1 29 1980 114.85 115.77 113.03 114.07 55480000 114.07
1 30 1980 114.07 115.85 113.37 115.2 51170000 115.2
1 31 1980 115.2 117.17 113.78 114.16 65900000 114.16
